time_s,receiving_voltage_phase_1_v,sending_current_phase_1_a,receiving_current_phase_1_a,receiving_voltage_phase_2_v,sending_current_phase_2_a,receiving_current_phase_2_a,receiving_voltage_phase_3_v,sending_current_phase_3_a,receiving_current_phase_3_a
0.00132,234352.877989,4427.13513026,-4687.05755979,135354.275284,2811.94535737,-2707.08550569,50425.4224789,1065.24515333,-1008.50844958
0.00133,199793.707653,4133.24349806,-3995.87415306,116830.613243,2266.25859596,-2336.61226487,29937.73553,550.767071364,-598.7547106
0.00134,185988.4504,3631.81083879,-3719.76900801,94926.3124373,1934.22094552,-1898.52624875,8964.60509208,196.836825898,-179.292101842
0.00135,167544.283326,3393.93220076,-3350.88566651,80748.6374231,1587.90552966,-1614.97274846,-5541.29116545,-130.368407481,110.825823309
0.00136,156133.071486,3091.14260547,-3122.66142972,67599.3410523,1365.49761716,-1351.98682105,-18801.0041273,-372.519555643,376.020082546
0.00137,144922.703335,2912.27279048,-2898.4540667,57741.4039233,1142.94551314,-1154.82807847,-28907.4498234,-586.765859575,578.148996469
0.00138,136629.886212,2719.73301956,-2732.59772425,49282.7137847,991.712029768,-985.654275693,-37669.2131932,-754.283692475,753.384263863
0.00139,129220.47105,2589.04169636,-2584.409421,42626.3615932,846.829764833,-852.527231864,-44705.1736808,-898.543007132,894.103473616
0.0014,123356.096681,2461.09745537,-2467.12193362,37001.9138058,743.16738058,-740.038276116,-50694.8374961,-1015.88965608,1013.89674992
0.00141,118232.474547,2366.1441882,-2364.64949093,32514.9205172,647.60178093,-650.298410344,-55645.5579119,-1115.68410274,1112.91115824
0.00142,114051.488805,2277.9156306,-2281.0297761,28724.7494153,576.303251978,-574.494988306,-59852.7890159,-1199.12324429,1197.05578032
0.00143,110405.655165,2208.44054308,-2208.11310331,25682.6793372,512.559568761,-513.653586743,-63395.9808933,-1269.97043044,1267.91961787
0.00144,107365.952242,2145.59671514,-2147.31904483,23115.8943888,463.514523264,-462.317887775,-66423.5666065,-1330.35642793,1328.47133213
0.00145,104706.810063,2094.02715338,-2094.13620125,21045.5802155,420.696484167,-420.911604311,-69011.1042487,-1381.92203366,1380.22208497
0.00146,102446.18458,2047.91162147,-2048.92369161,19307.2450617,387.079570001,-386.144901233,-71241.4920294,-1426.50946153,1424.82984059
0.00147,100457.632122,2008.90315254,-2009.15264243,17901.3143206,358.295804551,-358.026286413,-73172.8215869,-1464.96201107,1463.45643174
0.00148,98736.1192432,1974.08714045,-1974.72238486,16731.1394325,335.465852125,-334.622788651,-74854.9710501,-1498.61044322,1497.099421
0.00149,97210.1451826,1943.93202827,-1944.20290365,15786.8490791,316.277324146,-315.736981581,-76329.6190746,-1527.97624554,1526.59238149
0.0015,95866.8708582,1916.90966714,-1917.33741716,15011.7043188,301.062352134,-300.234086377,-77628.5370502,-1553.95618433,1552.570741
0.00151,94664.7965015,1893.04612747,-1893.29593003,14392.9488526,288.555345039,-287.858977053,-78780.7695765,-1576.91565217,1575.61539153
0.00152,93590.3838703,1871.49924844,-1871.80767741,13896.564692,278.775186647,-277.931293841,-79807.4705627,-1597.44432047,1596.14941125
0.00153,92618.5588553,1852.1527133,-1852.37117711,13510.5942432,271.002372726,-270.211884865,-80728.6565108,-1615.81249931,1614.57313022
0.00154,91737.7139966,1834.51767667,-1834.75427993,13213.9570172,265.147880817,-264.279140345,-81558.8753791,-1632.40738952,1631.17750758
0.00155,90932.0132052,1818.45119282,-1818.6402641,12996.7585554,260.785647889,-259.935171109,-82311.920273,-1647.43188165,1646.23840546
0.00156,90192.3143195,1803.6546879,-1803.84628639,12845.4568275,257.803187441,-256.909136549,-82998.0231196,-1661.14308725,1659.96046239
0.00157,89508.2003727,1789.99872252,-1790.16400745,12752.3281467,255.937516825,-255.046562933,-83626.7564754,-1673.69327448,1672.53512951
