time_s,lightning_current_a,tower_top_voltage_v,ground_potential_rise_v,insulator_stress_v,flashover_state
0.000126,8025.04931259,145260.359187,145253.075433,0.0072764773253,1
0.0001265,7909.21196666,143158.460353,143151.281943,0.00717123829955,1
0.000127,7795.12186463,141088.609691,141081.535021,0.0070676024591,1
0.0001275,7682.75180965,139050.274455,139043.301946,0.00696554319326,1
0.000128,7572.07503563,137042.933893,137036.061994,0.00686503448963,1
0.0001285,7463.06520062,135066.078763,135059.305946,0.00676605090985,1
0.000129,7355.69638017,133119.210849,133112.535613,0.00666856756565,1
0.0001295,7249.94306083,131201.842497,131195.263365,0.00657256009557,1
0.00013,7145.78013366,129313.496169,129307.011686,0.00647800464266,1
0.0001305,7043.18288787,127453.704019,127447.312757,0.00638487783347,1
0.000131,6942.12700452,125622.007505,125615.708055,0.0062931567584,1
0.0001315,6842.58855036,123817.957016,123811.747994,0.00620281895344,1
0.000132,6744.54397164,122041.111539,122034.991583,0.00611384238334,1
0.0001325,6647.97008811,120291.038345,120285.006114,0.00602620542586,1
0.000133,6552.8440871,118567.3127,118561.366873,0.00593988685754,1
0.0001335,6459.14351761,116869.517599,116863.656878,0.00585486584046,1
0.000134,6366.84628457,115197.243524,115191.466631,0.00577112191,1
0.0001345,6275.93064315,113550.088221,113544.393898,0.00568863496373,1
0.000135,6186.37519316,111927.656488,111922.043496,0.00560738525103,1
0.0001355,6098.15887354,110329.559984,110324.027103,0.00552735336335,1
0.000136,6011.26095691,108755.417046,108749.963078,0.00544852022539,1
0.0001365,5925.66104427,107204.852533,107199.476295,0.00537086708688,1
0.000137,5841.3390597,105677.497653,105672.197983,0.00529437551447,1
0.0001375,5758.2752452,104172.989829,104167.765582,0.00521902738459,1
0.000138,5676.45015558,102690.972552,102685.822602,0.00514480487653,1
0.0001385,5595.84465346,101231.095251,101226.018489,0.0050716904657,1
0.000139,5516.43990433,99793.013168,99788.0085014,0.0049996669175,1
0.0001395,5438.21737169,98376.3872381,98371.4535921,0.00492871728136,1
0.00014,5361.15881226,96980.8839724,96976.0202886,0.0048588248849,1
0.0001405,5285.24627129,95606.1753499,95601.3805866,0.00478997332859,1
0.000141,5210.46207791,94251.9387111,94247.2118424,0.00472214648034,1
0.0001415,5136.78884062,92917.8566532,92913.1966694,0.00465532847042,1
0.000142,5064.20944273,91603.6169337,91599.0228405,0.0045895036866,1
0.0001425,4992.70703804,90308.9123735,90304.3831921,0.0045246567693,1
0.000143,4922.26504643,89033.4407642,89028.9755308,0.00446077260705,1
0.0001435,4852.86714963,87776.904776,87772.5025418,0.00439783633181,1
0.000144,4784.49728698,86539.0118715,86534.6717024,0.0043358333148,1
0.0001445,4717.13965136,85319.4742201,85315.1951962,0.00427474916215,1
0.000145,4650.77868506,84118.0086133,84113.789829,0.00421456971066,1
0.0001455,4585.39907581,82934.3363858,82930.1769495,0.004155281024,1
0.000146,4520.98575284,81768.1833326,81764.0823664,0.00409686938848,1
0.0001465,4457.52388299,80619.2796352,80615.2362746,0.00403932130937,1
0.000147,4394.99886694,79487.3597839,79483.3731777,0.0039826235071,1
0.0001475,4333.39633542,78372.1625047,78368.2318151,0.00392676291358,1
0.000148,4272.70214552,77273.4306856,77269.5550872,0.00387172666853,1
0.0001485,4212.90237712,76190.9113601,76187.0900405,0.00381750211575,1
0.000149,4153.98332923,75124.3554275,75120.5875866,0.00376407680091,1
0.0001495,4095.93151656,74073.5178987,74069.8027488,0.00371143846614,1
0.00015,4038.73366602,73038.1576221,73034.4943875,0.00365957504814,1
0.0001505,3982.37671332,72018.0372707,72014.4251876,0.00360847467474,1
0.000151,3926.84779964,71012.9232768,71009.361593,0.0035581256614,1
0.0001515,3872.13426835,70022.58577,70019.0737449,0.00350851650834,1
0.000152,3818.22366172,69046.7985171,69043.3354216,0.00345963589744,1
0.0001525,3765.10371782,68085.3388601,68081.9239759,0.00341147268918,1
0.000153,3712.7623673,67137.9876598,67134.6202799,0.0033640159198,1
0.0001535,3661.18773036,66204.5292359,66201.2086638,0.00331725479836,1
0.000154,3610.36811371,65284.7513114,65281.4768615,0.00327117870393,1
0.0001545,3560.29200757,64378.4449557,64375.2159528,0.00322577718279,1
0.000155,3510.94808275,63485.4045313,63482.2203103,0.00318103994574,1
0.0001555,3462.32518774,62605.4276395,62602.2875457,0.00313695686542,1
0.000156,3414.4123459,61738.3150678,61735.2184563,0.00309351797366,1
0.0001565,3367.19875265,60883.8707376,60880.8169734,0.00305071345892,1
0.000157,3320.6737727,60041.9016545,60038.8901123,0.00300853366376,1
0.0001575,3274.82693738,59212.2178569,59209.2479208,0.00296696908229,1
0.000158,3229.64794196,58394.6323679,58391.7034315,0.00292601035785,1
0.0001585,3185.12664303,57588.9611469,57586.072613,0.00288564828045,1
0.000159,3141.25305591,56795.0230417,56792.1743221,0.00284587378449,1
0.0001595,3098.01735216,56012.6397427,56009.830258,0.00280667794645,1
0.00016,3055.40985704,55241.6357363,55238.8649162,0.00276805198258,1
